,132,135,154,155,160,179
D03230448,6.0,6.0,6.0,5.0,2.0,5.0
D03230449,5.5,5.5,6.0,4.5,3.0,5.0
D03230450,5.5,5.5,6.0,5.0,2.0,4.5
D03230961,5.5,6.0,6.0,5.0,3.0,6.0
D03230962,5.5,5.0,6.0,5.0,2.0,5.5
D03230964,6.0,5.0,6.0,5.5,4.0,5.0
D03230965,5.5,6.0,6.5,5.0,2.0,5.0
D03230966,5.5,6.0,6.0,4.5,1.0,6.0
D03231854,5.0,5.0,6.0,4.0,2.0,4.5
D03231855,6.0,5.0,6.0,5.0,2.0,5.5
D03231856,6.0,5.0,6.5,6.0,3.0,5.0
D03231857,6.0,5.0,6.5,6.0,2.8333333333333335,4.5
D03231865,6.0,6.0,6.5,6.0,2.0,5.0
D03231866,6.0,6.0,6.5,5.0,2.0,4.5
D03232024,6.0,5.0,6.5,5.0,3.0,5.5
D03232125,6.0,6.0,6.0,5.0,1.0,5.0
D04210933,6.0,6.0,6.5,4.5,3.5,5.0
D04210934,6.0,5.25,6.0,4.0,2.5,4.0
D04210936,5.0,5.5,5.5,5.0,2.0,5.0
D04210940,5.5,5.5,6.0,5.0,3.0,4.5
D04210956,6.0,6.0,6.0,4.5,1.0,5.0
D04210958,5.5,6.0,6.5,4.0,2.0,4.5
D04210962,6.0,6.0,6.0,4.5,3.0,5.0
D04210968,6.0,6.0,6.0,4.5,2.0,5.0
D04210969,5.5,6.0,6.5,6.0,2.0,5.0
D04210970,5.5,5.5,5.0,4.0,2.0,4.5
D04210971,5.0,6.0,6.0,5.0,2.0,4.0
D04210972,6.0,6.0,7.0,4.0,3.0,4.0
D04210973,5.5,6.0,6.0,4.5,3.0,4.5
D04210977,5.0,6.0,6.0,5.0,3.0,5.0
D04210978,6.0,6.5,6.0,4.0,1.0,5.0
D04211189,6.0,6.0,6.0,5.0,3.0,5.5
D04211856,6.5,6.0,6.0,5.0,3.0,5.0
D04211857,5.5,5.0,6.0,4.0,2.0,4.5
D04211960,6.0,5.0,6.0,5.0,3.0,5.5
D04212881,6.0,4.5,5.5,5.0,2.0,4.5
D04212884,5.5,5.5,6.5,4.0,4.0,4.0
D04213512,6.0,6.0,6.5,5.0,3.0,5.0
D04213514,5.5,6.0,6.5,4.0,3.0,5.0
D04213519,6.0,5.5,6.0,5.0,3.0,5.0
D04213521,6.0,5.5,6.0,4.0,2.0,4.0
D04213522,5.5,6.0,5.5,4.0,3.0,3.5
D04213526,5.5,6.0,6.5,4.0,4.0,5.0
D04213528,6.0,5.5,6.0,5.0,2.0,5.0
D04213530,6.0,5.5,6.0,5.0,4.0,5.0
D04213531,6.0,5.5,6.5,5.0,2.0,5.0
D04213539,5.5,5.5,5.5,4.5,3.0,5.0
D04213540,6.0,5.5,6.5,4.5,1.0,5.0
D04213550,5.5,6.0,6.0,5.0,2.0,5.0
D04213551,6.0,6.0,5.5,5.0,3.0,4.5
D04213552,5.0,5.5,6.0,4.5,2.0,4.0
D04213553,5.0,6.0,6.5,4.0,3.0,5.0
D04213555,5.5,6.0,6.5,4.5,2.0,4.5
D04220036,5.0,6.0,6.0,5.0,5.0,5.0
D04220639,5.5,6.0,6.0,5.0,5.0,5.0
D04220640,6.0,5.5,8.0,6.0,6.0,6.0
D04220641,6.0,6.0,6.0,4.5,5.0,4.5
D04220642,6.0,6.0,6.0,4.5,5.0,4.0
D04220672,6.0,5.5,7.0,5.0,5.0,5.5
D04220673,5.0,6.0,6.0,5.0,6.0,5.0
D04220674,5.0,6.0,6.0,5.0,3.0,4.0
D04220680,5.0,6.0,6.5,5.0,3.0,5.0
D04220681,6.0,5.5,6.0,5.0,5.0,5.0
D04220682,6.0,6.0,6.5,5.0,4.0,5.0
D04220760,6.0,6.0,6.0,5.0,4.5,4.5
D04220761,6.0,6.25,6.0,5.0,5.0,5.5
D04220838,6.0,6.0,6.0,5.0,3.0,6.0
D04220839,5.5,6.0,6.0,4.5,4.0,5.0
D04220840,7.0,6.0,6.0,5.0,3.0,6.0
D04220841,6.0,6.0,6.5,4.5,3.0,5.0
D04220842,5.5,6.25,7.0,5.0,3.0,5.0
D04220843,6.0,6.0,6.5,4.5,4.5,5.0
D04220844,6.0,6.0,6.0,5.0,4.0,5.0
D04220845,6.0,6.0,6.0,5.0,3.0,4.5
D04220846,5.0,6.5,6.0,4.5,2.5,6.0
D04220847,6.0,5.5,6.0,5.0,3.5,4.5
D04221157,5.0,6.0,6.5,4.5,5.0,5.0
D04221161,6.0,6.0,6.0,5.0,4.5,4.0
D04221162,7.0,6.0,6.0,5.0,5.0,5.0
D04221163,6.0,5.5,6.5,5.5,5.0,6.0
D04221164,8.0,6.0,6.5,6.0,5.0,5.0
D04221244,5.0,5.5,6.0,4.5,5.0,5.0
D04221308,5.0,5.5,7.0,5.0,5.0,5.0
D04221326,6.0,6.0,6.0,5.0,5.0,5.5
D04221327,6.0,6.0,6.0,5.0,6.0,5.5
D04221328,5.0,6.0,6.0,5.0,6.0,5.5
D04221329,6.0,6.0,6.0,5.0,4.0,5.5
D04221330,6.0,6.0,6.0,5.0,5.0,5.5
D04221409,6.0,5.0,6.0,5.0,6.0,5.0
D04221573,6.0,7.0,6.0,4.0,5.0,5.0
D04221587,5.5,6.0,6.0,5.0,4.0,5.0
D04221588,5.5,6.0,6.0,5.0,4.0,5.0
D04221589,6.0,6.0,6.0,4.5,5.0,6.0
D04221676,5.0,6.0,6.0,4.0,3.5,5.0
D04221693,6.0,6.0,6.5,4.5,5.0,5.0
D04221694,7.0,6.0,6.5,5.0,3.0,5.0
D04221695,6.0,6.5,7.0,4.5,6.0,4.5
D04221696,6.0,6.333333333333333,6.5,5.0,3.0,4.0
D04221697,6.0,6.0,6.0,5.0,4.0,4.0
D04221698,6.0,6.0,6.0,5.0,3.5,5.0
D04221699,6.0,6.166666666666667,7.0,4.0,3.0,4.5
D04221700,6.0,6.5,6.0,4.5,2.0,5.0
D04221701,5.5,6.0,6.5,4.5,3.0,4.5
D04221702,5.5,6.0,6.0,5.0,4.0,4.5
D04221703,5.5,6.0,6.0,5.0,6.0,4.5
D04221704,6.0,6.0,6.5,5.0,5.0,4.5
D04221705,6.0,6.0,6.0,4.0,4.0,4.5
D04221706,6.0,6.0,4.0,4.5,4.0,4.5
D04221707,5.5,6.0,3.0,5.0,4.0,4.0
D04221708,5.0,5.5,6.0,4.0,4.0,4.5
D04221709,6.0,6.0,6.0,4.0,4.0,4.5
D04221725,7.0,5.5,6.0,5.0,5.0,6.0
D04221737,5.5,6.0,7.0,5.0,5.0,5.0
D04221738,5.5,6.5,6.0,5.0,5.0,5.0
D04221739,5.5,6.5,7.0,5.0,3.0,5.0
D04221763,5.5,6.0,7.0,5.0,5.0,4.0
D04221765,6.0,5.5,7.5,5.0,4.5,5.5
D04221853,5.5,5.5,7.0,5.0,6.0,5.0
D04221877,6.0,6.0,6.5,5.0,5.0,5.5
D04221959,5.5,5.5,6.5,5.0,6.0,5.5
D04222057,6.0,6.0,6.0,5.0,5.0,5.0
D04222060,7.0,6.0,6.5,5.0,5.0,5.0
D04222149,6.0,6.0,6.5,5.0,4.5,5.0
D04222150,6.0,5.5,6.0,5.0,6.0,5.0
D04222151,6.0,6.25,6.0,4.5,5.0,5.0
D04222202,6.0,6.0,7.0,5.0,3.0,5.0
D04222475,6.0,5.5,6.5,4.5,5.0,5.0
D04222595,5.0,6.0,6.5,6.0,6.0,5.0
D04222596,6.0,6.5,7.0,5.0,5.0,4.5
D04222743,6.0,6.5,6.0,5.0,3.0,5.5
D04222794,5.0,6.25,6.5,5.5,6.0,5.0
D04222857,6.0,6.0,6.0,5.0,4.0,5.0
D04222858,6.0,6.0,6.0,5.0,6.0,4.5
D04222859,5.5,6.0,6.5,6.0,6.0,4.5
D04222893,6.0,6.0,6.0,4.5,6.0,5.0
D04222945,6.0,6.0,6.0,4.5,6.0,5.0
D04222946,5.5,5.5,6.0,4.0,2.5,4.0
D04222977,6.0,6.5,6.5,5.5,6.0,4.5
D04222979,6.0,5.5,6.0,5.0,6.0,5.0
D04223056,6.0,6.0,6.5,4.5,4.5,5.0
D04223057,6.0,5.75,6.0,4.5,3.0,5.0
D04223058,6.0,5.5,5.5,5.0,3.0,4.5
D04223059,5.0,5.5,6.0,5.0,2.0,5.0
D04223060,6.0,4.5,5.0,5.0,3.0,4.5
D04223061,6.0,6.0,6.0,5.0,3.0,5.0
D04223062,5.5,5.5,6.5,4.5,3.5,4.5
D04223063,6.0,5.5,6.0,4.5,2.5,4.5
D04223064,6.0,5.5,6.0,4.5,3.5,5.0
D04223065,6.0,6.0,5.5,4.5,4.0,4.5
D04223066,5.5,6.0,6.5,4.5,2.0,4.0
D04223067,6.0,6.0,5.5,4.5,3.5,4.5
D04223068,6.0,6.0,6.5,4.0,3.0,5.0
D04223071,5.5,6.0,6.0,4.0,3.0,5.0
D04223072,6.0,6.0,6.5,5.0,2.0,4.0
D04223073,6.0,6.0,7.0,6.0,3.5,5.0
D04223074,7.0,5.5,6.0,5.0,3.0,6.0
D04223079,6.0,6.5,6.0,4.5,3.0,5.0
D04223081,6.0,6.0,6.0,5.0,3.0,5.5
D04223082,6.0,6.0,7.0,5.0,3.0,5.0
D04223083,6.5,6.0,7.0,5.0,3.0,4.5
D04223084,6.5,6.0,6.0,5.0,3.0,5.0
D04223086,6.0,5.5,6.0,4.0,3.0,5.5
D04223087,6.0,6.0,5.5,5.0,1.0,5.0
D04223088,6.0,6.0,6.0,5.0,3.0,5.0
D04223089,5.0,4.5,5.0,5.0,5.0,4.0
D04223091,6.0,5.5,6.0,5.0,3.0,5.0
D04223093,6.0,6.0,6.5,5.0,2.0,5.0
D04223094,6.5,5.5,6.0,5.0,3.0,5.0
D04230078,5.5,6.0,6.0,6.0,3.0,5.0
D04230079,5.5,6.0,7.0,5.0,2.0,5.0
D04230124,6.0,5.5,6.0,5.0,1.0,5.0
D04230125,5.5,5.5,6.0,5.0,1.0,5.5
D04230129,5.5,5.5,6.0,4.0,2.0,4.5
D04230196,6.0,5.5,6.5,4.5,1.0,4.5
D04230325,5.5,6.0,6.0,5.0,2.0,5.0
D04230336,6.0,5.0,6.5,5.0,3.0,4.0
D04230925,6.0,5.0,6.5,4.0,1.5,5.0
D04230972,6.0,4.0,6.0,6.0,2.3333333333333335,5.0
D04231285,5.5,6.0,6.5,6.0,2.0,5.0
D04231635,5.5,5.25,6.5,6.0,2.0,5.0
D04231790,5.5,5.0,6.0,5.0,3.0,5.0
D04232087,6.0,6.0,6.0,5.0,3.0,5.0
D04232209,6.0,6.0,6.0,4.5,4.0,6.0
D04232210,5.5,5.0,6.5,5.0,3.5,5.0
D05210424,6.0,6.0,8.0,5.0,3.5,4.5
D05211739,4.0,5.0,5.0,4.0,3.0,5.5
D05211745,5.0,6.0,4.0,4.0,2.0,4.5
D05211751,5.0,6.0,5.5,4.0,4.0,5.0
D05211752,5.0,6.0,5.5,4.0,3.0,4.5
D05211846,6.0,5.5,6.0,4.5,3.5,5.0
D05211847,5.5,5.5,6.0,4.0,2.5,5.0
D05211848,5.5,6.0,6.0,5.0,2.0,5.0
D05211849,5.0,5.0,6.0,5.0,3.0,5.0
D05211853,5.0,6.0,6.0,4.0,4.0,5.0
D05211865,5.0,6.0,7.0,4.0,4.0,4.5
D05211866,5.0,6.0,7.0,4.0,4.5,5.0
D05212548,5.0,6.0,7.0,4.0,3.5,5.0
D05212565,6.0,5.5,6.5,4.5,2.0,5.0
D05212566,5.5,5.5,6.5,5.0,3.0,4.0
D05220296,5.0,6.0,6.0,5.0,6.0,5.0
D05220316,6.0,6.0,6.0,4.0,6.0,6.0
D05220349,6.0,6.0,8.0,5.0,6.0,5.5
D05220576,5.5,6.5,6.0,4.5,5.0,5.0
D05220711,5.5,5.0,6.0,5.0,6.0,5.0
D05220712,6.0,6.0,7.0,5.0,6.0,5.5
D05220713,5.5,6.0,6.0,5.0,6.0,5.0
D05220789,6.5,6.0,6.0,5.0,6.0,5.0
D05220790,5.5,6.0,6.0,5.0,6.0,5.0
D05220791,6.0,6.0,7.0,4.0,6.0,5.0
D05221339,6.0,6.0,6.0,5.0,6.0,5.0
D05221346,6.0,6.0,6.0,4.0,6.0,5.0
D05221347,5.5,5.5,6.0,5.0,6.0,5.0
D05221572,5.0,6.0,6.0,5.5,5.0,4.0
D05221578,6.0,6.0,7.0,5.0,6.0,6.0
D05221712,6.0,6.0,8.0,5.5,6.0,5.0
