,132,135,154,155,160,179
D03211879,7.0,6.0,7.0,6.0,7.0,4.0
D03211884,6.5,6.0,7.0,6.0,9.0,4.0
D03211894,7.0,6.0,7.0,6.0,8.0,6.5
D03213077,5.5,6.0,7.5,7.0,8.0,5.0
D03213094,5.5,5.0,7.0,6.5,7.5,4.0
D03213114,6.5,6.0,7.0,5.0,6.0,6.0
D03220035,6.5,7.0,8.0,8.0,7.0,7.0
D03220355,6.5,6.5,7.0,7.0,7.0,6.5
D03220356,6.0,6.4,7.0,7.0,8.0,7.0
D03220871,6.5,5.5,7.0,7.0,8.0,6.0
D03220872,6.5,5.5,7.0,7.0,8.0,4.0
D03221001,6.5,6.0,7.5,7.0,8.0,6.25
D03221016,6.5,6.5,7.0,7.0,8.0,5.5
D03221017,7.0,6.5,7.0,7.0,8.0,6.0
D03221169,7.0,6.0,8.0,7.0,8.0,6.0
D03221170,6.0,5.5,8.0,7.0,7.0,6.0
D03221229,5.0,4.0,6.0,5.0,4.5,4.75
D03221231,7.5,6.0,7.0,7.0,6.5,6.0
D03221237,6.5,5.0,7.0,6.0,7.0,6.0
D03221241,7.0,5.5,6.0,6.0,7.5,5.0
D03221244,6.5,5.75,6.0,5.5,6.0,6.0
D03221245,7.0,5.5,6.0,6.0,7.0,5.0
D03221246,7.0,4.5,6.0,7.0,7.0,5.0
D03221247,8.0,5.5,6.0,7.0,6.5,6.0
D03221248,6.5,6.0,8.0,5.5,6.0,6.0
D03221249,7.0,6.5,7.0,7.0,7.0,4.5
D03221256,7.0,6.0,6.5,6.0,7.0,5.0
D03221257,6.0,5.5,6.5,7.0,6.5,3.0
D03221258,7.0,6.5,6.5,7.0,7.0,5.0
D03221259,7.0,5.5,6.5,6.0,7.0,5.0
D03221260,7.5,6.5,8.0,7.0,7.0,5.0
D03221261,7.0,5.25,6.5,6.0,5.5,5.0
D03221306,7.0,5.5,6.0,6.0,7.0,5.0
D03221307,7.5,5.0,7.0,6.0,7.0,5.0
D03221313,6.0,5.5,6.0,6.0,7.0,5.0
D03221314,8.0,5.5,6.0,7.0,8.0,5.5
D03221315,7.0,5.5,6.0,7.0,6.0,6.0
D03221316,7.0,5.5,6.0,7.0,7.0,4.0
D03221317,9.0,6.0,6.0,7.0,8.0,5.5
D03221318,9.0,6.0,6.0,5.0,8.0,7.0
D03221323,9.0,5.0,7.0,7.0,8.0,6.0
D03221331,5.0,6.0,6.0,7.0,8.0,5.5
D03221431,6.0,5.5,7.0,6.0,8.0,6.0
D03221432,6.0,6.0,7.0,6.0,7.0,6.0
D03221433,6.5,5.5,7.0,6.0,7.0,6.0
D03221435,6.5,6.0,8.0,7.0,8.0,6.5
D03221436,6.5,6.0,8.0,6.0,8.0,6.5
D03221437,5.5,5.5,7.0,6.0,8.0,5.5
D03221438,6.0,5.0,8.0,6.5,8.0,5.5
D03221439,5.0,6.5,7.0,7.0,8.0,6.5
D03221440,6.0,6.5,7.0,7.0,8.0,6.5
D03221446,6.0,6.0,8.0,7.0,8.0,6.0
D03221447,5.0,5.5,7.0,6.0,8.0,6.5
D03221448,0.0,6.0,7.0,7.0,8.0,6.5
D03221455,5.0,6.0,7.0,6.5,8.0,5.5
D03221456,5.0,5.5,8.0,6.0,7.5,5.0
D03221459,6.0,6.0,7.0,7.0,8.0,5.0
D03221460,5.0,6.0,8.0,7.0,8.0,5.0
D03221461,6.5,6.0,7.0,6.0,8.0,5.0
D03221463,6.5,5.5,7.0,6.0,8.0,6.5
D03221464,6.5,7.0,8.0,7.0,8.0,6.5
D03221465,0.0,6.0,7.0,7.0,8.0,6.5
D03221524,5.0,5.5,7.0,8.0,8.0,6.0
D03221527,7.0,6.5,7.0,6.5,8.0,6.0
D03221577,7.0,6.0,8.0,7.0,7.0,5.5
D03221578,7.0,6.0,8.0,6.5,8.0,6.0
D03221579,7.0,6.0,7.5,8.0,9.0,6.0
D03221581,7.0,6.0,7.0,7.0,8.0,6.0
D03221893,7.0,6.5,8.0,7.0,8.0,6.0
D03221894,7.0,6.0,8.0,7.0,8.0,6.5
D03222228,6.5,6.5,7.0,7.0,8.0,6.0
D03222229,6.5,6.0,8.0,7.0,8.0,6.5
D03222230,6.5,5.5,8.0,7.0,8.0,5.5
D03222231,7.0,6.0,5.0,7.0,8.0,6.0
D03222232,6.5,6.0,8.0,7.0,8.0,6.0
D03222577,6.0,5.5,7.0,6.0,8.0,6.0
D03222578,6.0,6.5,8.0,6.5,8.0,4.5
D03222600,6.5,7.0,7.0,8.0,8.0,6.0
D03222601,6.5,7.0,7.0,8.0,8.0,7.0
D03222770,6.5,4.5,7.0,6.0,6.0,3.0
D03222771,7.0,6.0,8.0,7.0,8.0,6.0
D03222772,7.0,6.0,7.0,7.0,8.0,6.0
D03222774,7.0,5.0,7.5,6.0,6.0,3.0
D03222910,7.0,5.0,7.0,7.0,8.0,6.0
D03222911,8.0,5.5,8.0,7.0,8.0,6.0
D03222956,7.0,6.0,7.5,7.0,4.0,6.0
D03222972,6.0,6.0,6.0,6.0,4.0,6.0
D03223070,6.0,5.0,8.0,8.0,8.0,6.0
D03223198,5.5,6.0,8.0,7.0,8.0,5.5
D03223199,6.0,6.0,8.0,7.0,8.0,6.5
D03223262,6.0,6.0,9.0,8.0,8.0,6.5
D03223263,7.0,5.5,9.0,7.0,8.0,5.5
D03223279,7.0,6.0,8.0,7.0,8.0,7.0
D03223280,8.0,6.5,8.0,7.0,8.0,7.0
D03223281,7.0,6.166666666666667,8.0,7.0,8.0,6.333333333333333
D03223282,6.0,6.5,8.0,7.0,8.0,6.0
D03223289,6.0,6.0,7.0,7.0,8.0,6.0
D03223291,6.5,6.0,8.0,7.0,8.0,6.5
D03223294,6.0,6.0,8.0,7.0,8.0,6.0
D03230029,7.0,6.0,7.0,6.0,4.0,2.0
D03230030,6.5,5.0,7.0,5.5,5.0,5.0
D03230447,6.0,6.0,7.0,6.0,9.0,5.5
D03230448,6.5,6.5,7.0,7.0,9.0,6.0
D03230449,6.5,6.0,7.0,7.0,9.0,6.0
D03230450,6.5,6.0,7.0,7.0,7.0,5.0
D03230961,5.5,5.5,6.5,7.0,9.0,7.0
D03230962,6.0,5.0,7.0,7.0,9.0,7.0
D03230964,7.0,5.0,7.0,7.0,8.0,3.0
D03230965,6.5,5.5,7.0,6.5,9.0,7.0
D03230966,6.0,5.5,7.0,6.5,9.0,5.0
D03231854,5.0,5.0,7.0,7.0,9.0,5.0
D03231855,6.0,5.0,6.5,7.0,9.0,6.0
D03231856,6.5,6.0,7.0,7.0,8.0,5.5
D03231857,6.5,5.333333333333333,7.0,7.0,9.0,5.5
D03231865,6.0,5.5,7.0,7.0,9.0,6.0
D03231866,6.0,5.5,7.0,7.0,9.0,6.0
D03232024,8.0,6.0,7.0,7.0,8.5,6.0
D03232125,6.5,6.0,7.0,6.5,5.0,5.5
D04210933,6.0,6.5,6.0,6.5,6.5,6.0
D04210934,7.0,4.5,6.0,6.0,6.0,5.5
D04210936,6.0,5.5,6.5,7.0,7.0,5.0
D04210940,6.5,6.0,6.0,6.5,7.0,6.5
D04210956,7.5,6.0,7.0,7.0,5.0,6.0
D04210958,5.5,5.5,6.0,6.0,7.0,6.0
D04210962,7.5,6.0,7.0,7.0,7.5,6.0
D04210968,7.5,6.0,7.0,7.0,8.0,6.0
D04210969,6.5,6.5,6.5,6.0,8.0,5.0
D04210970,6.0,6.0,7.0,6.0,5.0,5.5
D04210971,4.5,6.0,7.0,6.5,8.0,6.0
D04210972,6.5,5.5,7.0,7.0,7.0,6.0
D04210973,6.0,6.0,6.0,6.0,7.0,6.0
D04210977,5.0,6.0,7.0,6.5,7.5,4.5
D04210978,6.5,5.5,6.0,6.0,9.0,5.0
D04211189,7.5,6.5,7.0,7.5,8.0,6.5
D04211856,6.5,6.0,6.0,6.5,7.0,5.5
D04211857,6.0,6.0,6.0,6.0,7.0,6.0
D04211960,6.5,5.0,7.0,7.0,8.0,6.5
D04212881,7.0,4.0,6.5,7.0,6.5,6.0
D04212884,6.5,5.5,6.5,6.0,7.0,5.5
D04213512,7.0,5.5,6.5,6.5,8.0,6.0
D04213514,7.0,6.0,6.0,7.0,5.0,5.5
D04213519,7.0,5.0,6.0,6.5,6.0,5.0
D04213521,6.0,4.5,7.0,6.0,7.0,6.0
D04213522,7.0,5.0,5.5,6.0,8.0,6.0
D04213526,6.5,6.0,6.0,7.0,7.0,5.0
D04213528,7.0,5.5,7.5,6.0,4.0,5.0
D04213530,7.0,5.0,6.5,6.0,6.0,5.0
D04213531,6.5,6.5,7.0,6.5,8.5,5.0
D04213539,6.0,5.5,6.5,6.5,7.0,5.0
D04213540,6.0,5.0,7.0,5.5,6.0,6.0
D04213550,6.0,5.5,6.0,7.0,7.0,5.0
D04213551,7.0,5.5,6.5,6.0,8.0,5.5
D04213552,7.0,5.5,6.5,6.5,5.0,6.0
D04213553,7.0,5.5,6.5,6.0,7.0,6.0
D04213555,5.5,5.5,6.0,6.5,7.0,6.0
D04220036,5.0,6.0,7.0,7.0,9.0,7.0
D04220639,6.5,6.0,7.0,7.0,8.0,6.0
D04220640,6.5,5.0,7.0,7.0,7.0,3.0
D04220641,6.0,6.0,7.0,7.0,8.0,6.5
D04220642,6.0,6.0,8.0,7.0,8.0,6.5
D04220672,7.0,5.0,7.0,7.0,6.5,5.5
D04220673,7.0,6.0,4.0,7.0,7.0,5.0
D04220674,7.0,6.0,7.0,7.0,8.0,6.0
D04220680,8.0,5.5,7.0,6.0,6.0,6.0
D04220681,7.0,5.0,6.0,7.0,6.5,6.0
D04220682,6.5,6.0,7.0,7.0,7.0,6.0
D04220760,6.5,6.25,8.0,7.0,8.0,5.25
D04220761,6.5,6.25,8.0,7.0,8.0,6.5
D04220838,6.5,6.0,7.0,7.0,8.0,7.0
D04220839,6.0,6.0,7.0,6.5,7.5,6.5
D04220840,7.0,6.0,7.0,7.0,8.0,6.0
D04220841,6.5,6.5,6.0,5.5,6.5,6.0
D04220842,7.0,6.5,7.0,6.0,6.0,5.5
D04220843,7.0,5.5,6.0,7.0,8.0,6.5
D04220844,7.0,5.5,6.0,6.0,8.0,6.0
D04220845,5.0,6.5,6.0,7.0,7.0,5.0
D04220846,7.0,6.5,5.0,6.0,7.0,6.0
D04220847,5.0,6.0,7.0,6.0,7.0,5.0
D04221157,6.0,6.0,8.0,7.0,8.0,7.0
D04221161,6.0,4.5,7.0,6.0,7.5,5.0
D04221162,7.0,5.5,7.0,6.5,8.0,5.5
D04221163,6.0,6.0,7.0,6.0,8.0,6.0
D04221164,6.0,5.5,6.5,7.0,8.0,6.0
D04221244,5.0,5.5,7.5,7.0,8.0,6.0
D04221308,6.0,5.0,8.0,6.5,8.0,5.5
D04221326,6.0,6.0,6.0,7.0,7.0,6.5
D04221327,6.0,6.0,6.0,7.0,6.0,6.5
D04221328,6.0,6.0,6.0,7.0,7.0,6.5
D04221329,6.5,6.0,5.0,7.0,7.0,6.5
D04221330,6.0,6.0,5.0,6.0,6.0,6.5
D04221409,6.0,5.5,7.0,6.5,8.0,5.5
D04221573,6.0,6.5,8.0,7.0,8.0,8.0
D04221587,6.5,6.5,7.0,7.0,8.0,5.0
D04221588,6.5,6.0,6.0,7.0,8.0,5.0
D04221589,6.5,6.5,7.0,6.5,8.0,6.0
D04221676,5.25,6.0,6.0,4.5,7.0,4.0
D04221693,7.0,6.0,7.0,6.0,6.0,6.0
D04221694,7.0,5.5,6.5,6.0,7.5,5.0
D04221695,7.0,5.5,7.0,6.0,9.0,5.0
D04221696,6.5,6.333333333333333,7.5,6.0,7.0,5.5
D04221697,7.0,6.0,7.0,6.5,7.0,6.0
D04221698,7.0,5.5,7.0,6.0,6.5,5.0
D04221699,7.0,6.333333333333333,7.0,6.5,8.0,6.0
D04221700,6.5,5.5,6.0,6.5,4.0,5.5
D04221701,7.0,5.0,6.0,6.5,7.5,4.0
D04221702,6.5,6.0,6.0,6.5,5.0,6.0
D04221703,6.5,6.0,6.0,6.5,6.0,6.0
D04221704,4.0,5.5,5.0,6.0,7.0,5.0
D04221705,6.5,6.0,4.0,6.5,7.5,5.5
D04221706,6.5,5.0,5.0,6.0,5.0,6.5
D04221707,6.5,6.0,4.0,6.5,7.0,6.5
D04221708,6.5,6.0,5.5,6.0,6.5,6.0
D04221709,6.5,6.5,7.0,6.0,7.0,6.0
D04221725,6.0,6.5,6.5,7.0,8.0,7.0
D04221737,6.5,6.5,8.0,7.0,7.0,6.0
D04221738,6.0,5.5,8.0,7.0,8.0,5.0
D04221739,6.0,6.0,8.0,7.0,8.5,5.5
D04221763,6.5,6.0,8.0,6.0,8.0,5.0
D04221765,6.5,4.0,7.5,7.0,8.0,6.5
D04221853,6.0,5.5,7.0,7.0,7.5,6.0
D04221877,6.5,5.5,8.0,7.0,8.0,6.5
D04221959,6.0,6.0,6.5,7.0,8.0,6.5
D04222057,6.0,6.0,7.0,6.0,8.0,6.0
D04222060,5.0,6.0,7.5,6.5,8.0,5.0
D04222149,7.0,6.5,8.0,7.0,8.0,6.0
D04222150,6.0,5.5,8.0,7.0,8.0,6.0
D04222151,6.5,6.25,8.0,7.0,8.0,6.5
D04222202,6.5,6.5,8.0,8.0,8.0,6.0
D04222475,6.0,6.0,7.5,7.0,8.0,5.0
D04222595,5.0,6.0,7.0,7.0,8.0,6.0
D04222596,7.0,6.0,7.0,7.0,8.0,5.0
D04222743,6.5,6.0,7.0,7.0,8.0,6.5
D04222794,6.5,6.25,8.5,7.0,8.0,6.5
D04222857,5.5,6.0,7.0,7.0,8.0,6.5
D04222858,6.5,6.0,7.0,8.0,8.0,7.0
D04222859,7.0,6.0,7.5,7.0,8.0,6.0
D04222893,7.0,5.5,8.0,7.0,8.0,6.0
D04222945,6.0,6.0,6.0,7.0,8.0,6.5
D04222946,6.0,5.5,7.0,7.0,8.5,6.0
D04222977,6.5,6.5,7.5,7.0,9.0,6.0
D04222979,7.0,6.5,7.5,7.0,9.0,6.0
D04223056,6.0,5.5,6.0,6.0,6.0,6.5
D04223057,6.5,4.75,6.0,6.5,8.0,5.5
D04223058,7.5,5.5,6.5,7.0,4.0,5.0
D04223059,5.0,5.0,6.0,6.0,6.0,5.5
D04223060,6.5,5.0,7.0,7.0,5.5,5.0
D04223061,7.5,5.5,7.0,7.0,7.0,6.0
D04223062,6.5,6.0,6.0,6.5,7.5,3.5
D04223063,6.5,6.0,6.0,6.0,7.0,4.5
D04223064,6.5,5.0,6.5,7.0,7.0,4.0
D04223065,6.0,5.5,5.5,6.0,5.5,5.0
D04223066,7.0,5.0,7.0,7.0,6.0,4.5
D04223067,6.5,4.5,6.5,6.5,7.5,6.0
D04223068,6.0,5.5,6.0,5.0,6.5,6.0
D04223071,6.5,6.0,7.0,6.0,8.0,6.0
D04223072,7.0,6.0,7.0,6.0,8.0,5.5
D04223073,6.5,5.5,6.0,6.0,7.0,6.0
D04223074,7.0,5.0,6.0,6.5,6.0,7.0
D04223079,6.5,5.5,6.0,6.5,8.0,5.5
D04223081,6.5,6.0,7.0,5.0,5.0,6.5
D04223082,7.0,6.0,7.0,5.5,8.0,5.0
D04223083,5.5,5.5,7.0,6.0,7.0,5.5
D04223084,6.5,6.0,6.0,6.0,6.5,6.0
D04223086,7.0,5.0,7.0,6.0,6.0,6.0
D04223087,8.0,6.0,6.0,7.0,6.0,6.0
D04223088,6.5,6.0,7.0,7.0,8.0,4.0
D04223089,6.0,5.0,8.0,6.5,8.0,6.0
D04223091,7.0,4.5,6.0,6.5,6.0,5.0
D04223093,7.0,5.0,6.0,7.0,8.0,6.0
D04223094,6.5,6.0,6.0,6.5,6.5,5.5
D04230078,7.0,6.0,7.0,7.0,9.0,6.0
D04230079,7.5,6.0,7.5,7.0,9.0,6.0
D04230124,6.5,5.5,6.5,7.0,9.0,4.5
D04230125,6.5,6.0,6.5,6.5,9.0,6.0
D04230129,6.5,6.0,6.0,8.0,9.0,5.0
D04230196,7.0,6.0,6.5,7.0,9.0,6.0
D04230325,6.0,5.5,7.0,6.5,9.0,6.5
D04230336,6.5,5.0,7.0,7.0,9.0,6.0
D04230925,7.0,5.0,6.0,7.0,7.5,5.5
D04230972,6.5,4.5,7.0,7.0,9.0,3.0
D04231285,6.0,6.0,6.5,7.0,9.0,5.0
D04231635,5.5,5.5,7.0,7.0,9.0,4.0
D04231790,6.5,5.0,6.0,7.0,7.5,5.0
D04232087,6.5,6.0,7.0,7.0,8.0,8.0
D04232209,6.0,5.5,7.5,7.0,8.0,6.0
D04232210,6.5,5.5,8.0,7.0,8.0,4.0
D05210424,7.0,5.5,7.0,7.0,8.0,7.0
D05211739,6.0,5.0,6.0,7.0,8.0,6.5
D05211745,6.0,5.5,6.0,7.0,7.0,5.0
D05211751,5.0,6.0,6.0,6.0,7.5,6.5
D05211752,4.0,6.0,4.0,5.0,7.0,6.0
D05211846,7.0,5.0,6.0,6.5,7.0,6.0
D05211847,6.0,5.0,6.0,6.0,8.0,6.5
D05211848,5.5,6.0,6.0,6.0,7.0,4.5
D05211849,5.0,4.5,7.0,6.5,7.5,5.0
D05211853,5.0,6.0,6.0,6.0,7.5,6.5
D05211865,5.0,5.5,6.0,6.0,7.5,6.0
D05211866,5.0,5.5,6.0,6.0,7.5,6.5
D05212548,6.0,5.5,7.0,6.0,6.5,6.0
D05212565,6.0,5.0,7.0,7.0,7.0,5.5
D05212566,6.0,5.5,6.0,6.0,8.0,6.5
D05220296,6.0,6.0,7.0,6.0,8.0,6.0
D05220316,6.5,6.0,8.0,7.0,8.0,7.0
D05220349,6.5,6.0,8.0,7.5,8.5,7.0
D05220576,6.0,6.0,7.0,7.0,7.0,5.0
D05220711,6.5,4.5,8.0,6.5,8.0,6.0
D05220712,6.5,6.0,8.0,6.5,8.0,6.5
D05220713,7.0,6.0,8.0,7.0,8.0,6.0
D05220789,6.0,5.5,7.0,6.0,8.0,5.0
D05220790,6.0,6.0,7.0,6.0,8.0,6.0
D05220791,6.0,6.0,7.0,6.0,8.0,5.0
D05221339,7.0,6.0,7.0,7.0,8.0,5.0
D05221346,6.0,6.0,7.5,7.0,8.0,6.0
D05221347,6.0,5.0,7.5,8.0,8.0,6.0
D05221572,5.5,5.5,7.0,7.0,8.0,4.0
D05221578,7.0,6.0,7.0,7.0,8.0,6.0
D05221712,6.5,6.0,9.0,7.0,8.0,7.0
D05221972,7.0,6.5,8.0,7.0,8.0,6.0
